dataset,method,M,efConstruction,efSearch,k,Rt,pip_gamma,pip_delta,Recall@k,QPS,Time_total_s,n_queries
fashion_mnist,PiP,16,200,200,20,,95.0,5.0,0.9123,1712.95,5.837886,10000
fashion_mnist,PiP,16,200,50,10,,95.0,10.0,0.98366,1480.53,6.754319,10000
fashion_mnist,PiP,16,200,100,10,,95.0,10.0,0.98365,1444.39,6.923338,10000
fashion_mnist,PiP,16,200,200,10,,95.0,10.0,0.98365,1435.46,6.966407,10000
fashion_mnist,PiP,16,200,50,20,,95.0,10.0,0.9609,1130.85,8.842926,10000
fashion_mnist,PiP,16,200,100,20,,95.0,10.0,0.96088,702.63,14.232249,10000
fashion_mnist,PiP,16,200,200,20,,95.0,10.0,0.96088,959.4,10.423195,10000
fashion_mnist,PiP,16,200,50,10,,95.0,20.0,0.9949,793.6,12.600813,10000
fashion_mnist,PiP,16,200,100,10,,95.0,20.0,0.99497,895.35,11.168816,10000
fashion_mnist,PiP,16,200,200,10,,95.0,20.0,0.99497,822.75,12.154416,10000
fashion_mnist,PiP,16,200,50,20,,95.0,20.0,0.9866,681.39,14.675976,10000
fashion_mnist,PiP,16,200,100,20,,95.0,20.0,0.9866,620.5,16.115978,10000
fashion_mnist,PiP,16,200,200,20,,95.0,20.0,0.9866,622.86,16.055028,10000
fashion_mnist,PiP,16,200,50,10,,99.0,5.0,0.95561,1597.74,6.258829,10000
fashion_mnist,PiP,16,200,100,10,,99.0,5.0,0.95561,1515.48,6.598568,10000
fashion_mnist,PiP,16,200,200,10,,99.0,5.0,0.95561,691.17,14.468121,10000
fashion_mnist,PiP,16,200,50,20,,99.0,5.0,0.95595,863.29,11.583603,10000
fashion_mnist,PiP,16,200,100,20,,99.0,5.0,0.95595,743.26,13.454332,10000
fashion_mnist,PiP,16,200,200,20,,99.0,5.0,0.95595,1022.53,9.779675,10000
fashion_mnist,PiP,16,200,50,10,,99.0,10.0,0.98366,1286.94,7.770384,10000
fashion_mnist,PiP,16,200,100,10,,99.0,10.0,0.98365,813.92,12.286272,10000
fashion_mnist,PiP,16,200,200,10,,99.0,10.0,0.98365,1246.46,8.022727,10000
fashion_mnist,PiP,16,200,50,20,,99.0,10.0,0.982195,434.19,23.031336,10000
fashion_mnist,PiP,16,200,100,20,,99.0,10.0,0.982205,453.31,22.059834,10000
fashion_mnist,PiP,16,200,200,20,,99.0,10.0,0.982205,571.3,17.503898,10000
fashion_mnist,PiP,16,200,50,10,,99.0,20.0,0.9949,448.97,22.273449,10000
fashion_mnist,PiP,16,200,100,10,,99.0,20.0,0.99497,440.86,22.682777,10000
fashion_mnist,PiP,16,200,200,10,,99.0,20.0,0.99497,430.84,23.210302,10000
fashion_mnist,PiP,16,200,50,20,,99.0,20.0,0.993865,333.34,29.999192,10000
fashion_mnist,PiP,16,200,100,20,,99.0,20.0,0.994235,393.42,25.418335,10000
fashion_mnist,PiP,16,200,200,20,,99.0,20.0,0.994235,487.3,20.521134,10000
fashion_mnist,Ada-ef,16,200,0,10,0.8,,,0.99957,153.57,65.11706,10000
fashion_mnist,Ada-ef,16,200,0,10,0.85,,,0.99957,150.65,66.379698,10000
fashion_mnist,Ada-ef,16,200,0,10,0.9,,,0.99513,281.12,35.572566,10000
fashion_mnist,Ada-ef,16,200,0,10,0.95,,,0.99957,116.87,85.567977,10000
fashion_mnist,Ada-ef,16,200,0,20,0.8,,,0.999695,116.04,86.176105,10000
fashion_mnist,Ada-ef,16,200,0,20,0.85,,,0.999695,117.52,85.088456,10000
fashion_mnist,Ada-ef,16,200,0,20,0.9,,,0.993085,511.66,19.544191,10000
fashion_mnist,Ada-ef,16,200,0,20,0.95,,,0.999695,162.26,61.628448,10000
