dataset,query_idx,M,efConstruction,efSearch,k,Rt,baseline_recall,darth_recall,is_failure,difficulty_1nn_dist,query_norm
fashion_mnist,405,16,200,200,10,0.9,1.0,1.0,False,2.933124,17.131998
fashion_mnist,406,16,200,200,10,0.9,0.9,0.9,False,4.144352,7.297662
fashion_mnist,407,16,200,200,10,0.9,1.0,1.0,False,2.426177,16.813593
fashion_mnist,408,16,200,200,10,0.9,1.0,1.0,False,3.337926,9.670238
fashion_mnist,409,16,200,200,10,0.9,0.5,0.5,False,5.090738,11.068284
fashion_mnist,410,16,200,200,10,0.9,0.9,0.9,False,3.351374,16.24155
fashion_mnist,411,16,200,200,10,0.9,1.0,1.0,False,3.114284,14.705408
fashion_mnist,412,16,200,200,10,0.9,0.9,0.9,False,2.695208,8.706988
fashion_mnist,413,16,200,200,10,0.9,1.0,1.0,False,3.998229,11.902047
fashion_mnist,414,16,200,200,10,0.9,1.0,1.0,False,4.307578,13.267893
fashion_mnist,415,16,200,200,10,0.9,1.0,1.0,False,3.317666,11.526037
fashion_mnist,416,16,200,200,10,0.9,0.9,0.9,False,4.478471,17.252878
fashion_mnist,417,16,200,200,10,0.9,0.9,0.9,False,3.000282,12.997701
fashion_mnist,418,16,200,200,10,0.9,0.8,0.8,False,5.958423,10.370984
fashion_mnist,419,16,200,200,10,0.9,1.0,1.0,False,2.920984,17.350323
fashion_mnist,420,16,200,200,10,0.9,0.8,0.8,False,4.557276,7.172395
fashion_mnist,421,16,200,200,10,0.9,1.0,1.0,False,3.364267,14.352992
fashion_mnist,422,16,200,200,10,0.9,1.0,1.0,False,4.105311,18.874994
fashion_mnist,423,16,200,200,10,0.9,1.0,1.0,False,3.739067,6.724531
fashion_mnist,424,16,200,200,10,0.9,1.0,1.0,False,4.4398,15.95524
fashion_mnist,425,16,200,200,10,0.9,1.0,1.0,False,3.450519,10.9635
fashion_mnist,426,16,200,200,10,0.9,0.9,0.9,False,3.212361,14.234883
fashion_mnist,427,16,200,200,10,0.9,0.9,0.9,False,5.624786,14.230213
