dataset,query_idx,M,efConstruction,efSearch,k,Rt,baseline_recall,darth_recall,is_failure,difficulty_1nn_dist,query_norm
glove100,4869,16,200,200,10,0.9,0.4,0.4,False,0.797902,1.0
glove100,4870,16,200,200,10,0.9,0.9,0.9,False,0.860601,1.0
glove100,4871,16,200,200,10,0.9,0.0,0.0,False,0.995697,1.0
glove100,4872,16,200,200,10,0.9,1.0,1.0,False,0.702318,1.0
glove100,4873,16,200,200,10,0.9,0.6,0.6,False,0.805534,1.0
glove100,4874,16,200,200,10,0.9,0.5,0.5,False,0.952974,1.0
glove100,4875,16,200,200,10,0.9,1.0,1.0,False,0.74581,1.0
glove100,4876,16,200,200,10,0.9,0.7,0.7,False,0.900091,1.0
glove100,4877,16,200,200,10,0.9,0.3,0.3,False,0.969791,1.0
glove100,4878,16,200,200,10,0.9,0.6,0.6,False,0.81611,1.0
glove100,4879,16,200,200,10,0.9,0.4,0.4,False,0.909632,1.0
glove100,4880,16,200,200,10,0.9,0.3,0.3,False,0.734782,1.0
glove100,4881,16,200,200,10,0.9,0.3,0.3,False,0.961064,1.0
glove100,4882,16,200,200,10,0.9,0.5,0.5,False,0.785411,1.0
glove100,4883,16,200,200,10,0.9,0.9,0.9,False,0.742412,1.0
glove100,4884,16,200,200,10,0.9,1.0,1.0,False,0.627169,1.0
glove100,4885,16,200,200,10,0.9,0.5,0.5,False,0.879604,1.0
glove100,4886,16,200,200,10,0.9,0.9,0.9,False,0.866866,1.0
glove100,4887,16,200,200,10,0.9,0.9,0.9,False,0.839619,1.0
glove100,4888,16,200,200,10,0.9,0.6,0.6,False,0.877172,1.0
glove100,4889,16,200,200,10,0.9,1.0,1.0,False,0.79207,1.0
glove100,4890,16,200,200,10,0.9,0.4,0.4,False,0.902121,1.0
glove100,4891,16,200,200,10,0.9,0.7,0.7,False,0.530744,1.0
glove100,4892,16,200,200,10,0.9,0.8,0.8,False,0.782089,1.0
glove100,4893,16,200,200,10,0.9,0.3,0.3,False,0.802489,1.0
glove100,4894,16,200,200,10,0.9,1.0,1.0,False,0.823784,1.0
glove100,4895,16,200,200,10,0.9,0.8,0.8,False,0.846513,1.0
glove100,4896,16,200,200,10,0.9,0.1,0.1,False,0.895569,1.0
glove100,4897,16,200,200,10,0.9,1.0,1.0,False,0.383708,1.0
glove100,4898,16,200,200,10,0.9,0.9,0.9,False,0.814287,1.0
glove100,4899,16,200,200,10,0.9,0.5,0.5,False,0.890668,1.0
glove100,4900,16,200,200,10,0.9,1.0,1.0,False,0.967449,1.0
glove100,4901,16,200,200,10,0.9,0.7,0.7,False,0.93653,1.0
glove100,4902,16,200,200,10,0.9,0.8,0.8,False,0.75566,1.0
glove100,4903,16,200,200,10,0.9,0.7,0.7,False,0.819914,1.0
glove100,4904,16,200,200,10,0.9,0.0,0.0,False,1.034132,1.0
glove100,4905,16,200,200,10,0.9,0.5,0.5,False,0.897225,1.0
glove100,4906,16,200,200,10,0.9,0.8,0.8,False,0.872735,1.0
glove100,4907,16,200,200,10,0.9,0.6,0.6,False,0.913557,1.0
glove100,4908,16,200,200,10,0.9,0.9,0.9,False,0.953888,1.0
glove100,4909,16,200,200,10,0.9,0.7,0.7,False,0.747515,1.0
glove100,4910,16,200,200,10,0.9,0.4,0.4,False,0.901094,1.0
glove100,4911,16,200,200,10,0.9,0.9,0.9,False,0.711959,1.0
glove100,4912,16,200,200,10,0.9,0.2,0.2,False,0.977329,1.0
glove100,4913,16,200,200,10,0.9,1.0,1.0,False,0.65325,1.0
glove100,4914,16,200,200,10,0.9,1.0,1.0,False,0.310096,1.0
glove100,4915,16,200,200,10,0.9,0.8,0.8,False,0.714691,1.0
glove100,4916,16,200,200,10,0.9,0.1,0.1,False,1.016441,1.0
glove100,4917,16,200,200,10,0.9,0.0,0.0,False,0.851934,1.0
glove100,4918,16,200,200,10,0.9,0.2,0.2,False,1.04669,1.0
glove100,4919,16,200,200,10,0.9,0.6,0.6,False,0.765009,1.0
glove100,4920,16,200,200,10,0.9,0.8,0.8,False,0.863271,1.0
glove100,4921,16,200,200,10,0.9,0.8,0.8,False,0.887276,1.0
glove100,4922,16,200,200,10,0.9,0.1,0.1,False,1.017559,1.0
glove100,4923,16,200,200,10,0.9,0.5,0.5,False,0.896505,1.0
glove100,4924,16,200,200,10,0.9,0.8,0.8,False,0.895028,1.0
glove100,4925,16,200,200,10,0.9,0.5,0.5,False,0.874402,1.0
glove100,4926,16,200,200,10,0.9,0.5,0.5,False,0.88896,1.0
glove100,4927,16,200,200,10,0.9,0.7,0.7,False,0.958116,1.0
glove100,4928,16,200,200,10,0.9,0.5,0.5,False,0.885108,1.0
glove100,4929,16,200,200,10,0.9,1.0,1.0,False,0.507896,1.0
glove100,4930,16,200,200,10,0.9,0.6,0.6,False,0.931379,1.0
glove100,4931,16,200,200,10,0.9,0.1,0.1,False,0.94391,1.0
