dataset,query_idx,M,efConstruction,efSearch,k,Rt,baseline_recall,darth_recall,is_failure,difficulty_1nn_dist,query_norm
sift128,3939,16,200,200,10,0.9,0.9,0.9,False,235.134,508.29224
sift128,3940,16,200,200,10,0.9,0.2,0.2,False,282.10812,507.74503
sift128,3941,16,200,200,10,0.9,0.5,0.5,False,221.07465,508.0728
sift128,3942,16,200,200,10,0.9,1.0,1.0,False,193.77306,508.76025
sift128,3943,16,200,200,10,0.9,0.6,0.6,False,233.85893,508.70422
sift128,3944,16,200,200,10,0.9,0.8,0.8,False,221.043,508.54202
sift128,3945,16,200,200,10,0.9,0.6,0.6,False,201.48697,507.8031
sift128,3946,16,200,200,10,0.9,0.9,0.9,False,197.44113,507.938
sift128,3947,16,200,200,10,0.9,0.4,0.4,False,254.26364,508.4201
sift128,3948,16,200,200,10,0.9,0.8,0.8,False,137.7897,508.78482
sift128,3949,16,200,200,10,0.9,0.8,0.8,False,220.79176,509.73227
sift128,3950,16,200,200,10,0.9,1.0,1.0,False,136.68578,509.37512
sift128,3951,16,200,200,10,0.9,0.9,0.9,False,156.10573,509.23962
sift128,3952,16,200,200,10,0.9,0.9,0.9,False,158.72618,508.6079
sift128,3953,16,200,200,10,0.9,0.7,0.7,False,230.52983,508.7799
sift128,3954,16,200,200,10,0.9,0.5,0.5,False,217.08293,508.84674
sift128,3955,16,200,200,10,0.9,0.8,0.8,False,205.23645,508.16925
sift128,3956,16,200,200,10,0.9,0.7,0.7,False,118.14398,509.16205
sift128,3957,16,200,200,10,0.9,0.8,0.8,False,219.53815,509.64105
sift128,3958,16,200,200,10,0.9,0.9,0.9,False,182.17574,508.65903
sift128,3959,16,200,200,10,0.9,0.5,0.5,False,172.50217,508.45255
sift128,3960,16,200,200,10,0.9,1.0,1.0,False,187.38196,509.35056
sift128,3961,16,200,200,10,0.9,0.3,0.3,False,210.80322,508.97937
sift128,3962,16,200,200,10,0.9,0.5,0.5,False,248.7167,507.6554
sift128,3963,16,200,200,10,0.9,1.0,1.0,False,186.47787,509.11392
sift128,3964,16,200,200,10,0.9,0.7,0.7,False,221.46332,508.13876
sift128,3965,16,200,200,10,0.9,0.6,0.6,False,205.89803,508.16827
sift128,3966,16,200,200,10,0.9,0.5,0.5,False,206.36133,507.1686
sift128,3967,16,200,200,10,0.9,1.0,1.0,False,205.43855,508.6954
sift128,3968,16,200,200,10,0.9,0.9,0.9,False,249.56361,508.74255
sift128,3969,16,200,200,10,0.9,0.8,0.8,False,271.12912,508.8428
sift128,3970,16,200,200,10,0.9,0.6,0.6,False,207.6367,509.42517
sift128,3971,16,200,200,10,0.9,0.5,0.5,False,233.94444,507.90155
sift128,3972,16,200,200,10,0.9,0.9,0.9,False,236.09106,508.06595
sift128,3973,16,200,200,10,0.9,0.6,0.6,False,233.3238,509.15323
sift128,3974,16,200,200,10,0.9,0.6,0.6,False,173.81024,509.1817
sift128,3975,16,200,200,10,0.9,0.7,0.7,False,289.96378,509.6391
sift128,3976,16,200,200,10,0.9,0.4,0.4,False,170.10585,508.5607
sift128,3977,16,200,200,10,0.9,1.0,1.0,False,222.64322,508.89487
sift128,3978,16,200,200,10,0.9,1.0,1.0,False,264.2177,508.77893
sift128,3979,16,200,200,10,0.9,0.8,0.8,False,226.82591,508.0049
sift128,3980,16,200,200,10,0.9,0.5,0.5,False,196.41537,507.73816
sift128,3981,16,200,200,10,0.9,0.5,0.5,False,205.69151,507.97736
sift128,3982,16,200,200,10,0.9,0.7,0.7,False,175.80956,509.5292
sift128,3983,16,200,200,10,0.9,0.6,0.6,False,247.43484,508.37387
sift128,3984,16,200,200,10,0.9,1.0,1.0,False,238.95607,507.997
sift128,3985,16,200,200,10,0.9,1.0,1.0,False,183.04372,508.4683
sift128,3986,16,200,200,10,0.9,0.9,0.9,False,147.85127,509.05502
sift128,3987,16,200,200,10,0.9,0.8,0.8,False,225.36415,508.3355
sift128,3988,16,200,200,10,0.9,0.7,0.7,False,257.9748,508.71603
sift128,3989,16,200,200,10,0.9,0.8,0.8,False,187.15768,509.38885
sift128,3990,16,200,200,10,0.9,0.6,0.6,False,261.18384,508.94205
sift128,3991,16,200,200,10,0.9,0.7,0.7,False,225.39964,508.56955
sift128,3992,16,200,200,10,0.9,0.3,0.3,False,240.47453,507.39334
sift128,3993,16,200,200,10,0.9,0.3,0.3,False,241.31306,508.34042
sift128,3994,16,200,200,10,0.9,0.3,0.3,False,201.93811,508.50662
sift128,3995,16,200,200,10,0.9,1.0,1.0,False,177.40068,508.43683
sift128,3996,16,200,200,10,0.9,0.9,0.9,False,181.36151,508.1742
sift128,3997,16,200,200,10,0.9,0.4,0.4,False,228.27177,507.63568
sift128,3998,16,200,200,10,0.9,0.7,0.7,False,212.4994,508.95383
sift128,3999,16,200,200,10,0.9,0.6,0.6,False,250.79474,507.73224
