dataset,query_idx,M,efConstruction,efSearch,k,Rt,baseline_recall,darth_recall,is_failure,difficulty_1nn_dist,query_norm
siftsmall,68,8,128,200,10,0.9,0.9,0.9,False,201.3107,508.45944
siftsmall,69,8,128,200,10,0.9,0.9,0.9,False,266.81268,508.39157
siftsmall,70,8,128,200,10,0.9,1.0,1.0,False,46.8188,509.5135
siftsmall,71,8,128,200,10,0.9,1.0,1.0,False,193.67499,509.03732
siftsmall,72,8,128,200,10,0.9,0.6,0.6,False,303.21115,508.4909
siftsmall,73,8,128,200,10,0.9,1.0,1.0,False,230.45824,508.89587
siftsmall,74,8,128,200,10,0.9,0.9,0.9,False,131.09538,507.90552
siftsmall,75,8,128,200,10,0.9,1.0,1.0,False,212.06131,507.72925
siftsmall,76,8,128,200,10,0.9,0.9,0.9,False,251.25684,509.04028
siftsmall,77,8,128,200,10,0.9,1.0,1.0,False,293.71585,507.7135
siftsmall,78,8,128,200,10,0.9,0.8,0.8,False,226.8678,508.31683
siftsmall,79,8,128,200,10,0.9,1.0,1.0,False,148.16545,509.16403
siftsmall,80,8,128,200,10,0.9,0.9,0.9,False,146.31131,508.93124
siftsmall,81,8,128,200,10,0.9,0.8,0.8,False,276.81943,509.4134
siftsmall,82,8,128,200,10,0.9,0.8,0.8,False,271.98163,507.5362
siftsmall,83,8,128,200,10,0.9,1.0,1.0,False,181.60672,509.0894
siftsmall,84,8,128,200,10,0.9,1.0,1.0,False,192.67848,508.59512
siftsmall,85,8,128,200,10,0.9,1.0,1.0,False,285.107,509.18954
siftsmall,86,8,128,200,10,0.9,1.0,1.0,False,224.90665,508.11514
siftsmall,87,8,128,200,10,0.9,1.0,1.0,False,123.55971,509.0442
siftsmall,88,8,128,200,10,0.9,1.0,1.0,False,75.07996,508.8202
siftsmall,89,8,128,200,10,0.9,1.0,1.0,False,114.53384,509.17188
siftsmall,90,8,128,200,10,0.9,0.9,0.9,False,50.457905,509.68716
siftsmall,91,8,128,200,10,0.9,0.8,0.8,False,298.02686,508.86343
siftsmall,92,8,128,200,10,0.9,0.6,0.6,False,141.46378,508.0561
siftsmall,93,8,128,200,10,0.9,1.0,1.0,False,234.77435,508.26862
siftsmall,94,8,128,200,10,0.9,1.0,1.0,False,160.57086,510.02158
siftsmall,95,8,128,200,10,0.9,0.8,0.8,False,305.39154,509.34174
siftsmall,96,8,128,200,10,0.9,0.6,0.6,False,285.79013,509.34076
siftsmall,97,8,128,200,10,0.9,0.8,0.8,False,233.53159,508.4968
siftsmall,98,8,128,200,10,0.9,0.8,0.8,False,137.42998,508.9008
siftsmall,99,8,128,200,10,0.9,1.0,1.0,False,184.61311,507.7903
siftsmall,0,8,200,200,10,0.9,0.7,0.7,False,276.7815,508.22238
siftsmall,1,8,200,200,10,0.9,0.9,0.9,False,256.8521,507.9429
siftsmall,2,8,200,200,10,0.9,0.8,0.8,False,206.73654,508.18893
siftsmall,3,8,200,200,10,0.9,1.0,1.0,False,215.17667,509.11884
siftsmall,4,8,200,200,10,0.9,0.5,0.5,False,250.50948,509.22195
siftsmall,5,8,200,200,10,0.9,0.7,0.7,False,275.15088,507.28986
siftsmall,6,8,200,200,10,0.9,1.0,1.0,False,246.60901,507.91928
siftsmall,7,8,200,200,10,0.9,1.0,1.0,False,173.94827,509.6332
siftsmall,8,8,200,200,10,0.9,0.6,0.6,False,248.47334,508.87817
siftsmall,9,8,200,200,10,0.9,0.7,0.7,False,250.014,508.04922
siftsmall,10,8,200,200,10,0.9,0.9,0.9,False,293.88263,508.18698
siftsmall,11,8,200,200,10,0.9,0.7,0.7,False,172.16272,508.7858
siftsmall,12,8,200,200,10,0.9,1.0,1.0,False,238.54979,509.0511
siftsmall,13,8,200,200,10,0.9,0.8,0.8,False,244.67734,509.5135
siftsmall,14,8,200,200,10,0.9,0.8,0.8,False,273.31668,507.4032
siftsmall,15,8,200,200,10,0.9,1.0,1.0,False,253.68288,508.78973
siftsmall,16,8,200,200,10,0.9,0.9,0.9,False,248.19952,507.47018
siftsmall,17,8,200,200,10,0.9,0.9,0.9,False,254.63504,508.04034
siftsmall,18,8,200,200,10,0.9,0.7,0.7,False,266.8895,508.7357
siftsmall,19,8,200,200,10,0.9,1.0,1.0,False,224.75098,508.45746
