dataset,method,M,efConstruction,efSearch,k,Rt,pip_gamma,pip_delta,Recall@k,QPS,Time_total_s,n_queries
siftsmall,PiP,16,200,200,10,,95.0,5.0,0.951,3823.16,0.026156,100
siftsmall,PiP,16,200,50,20,,95.0,5.0,0.905,3532.48,0.028309,100
siftsmall,PiP,16,200,100,20,,95.0,5.0,0.905,1013.51,0.098667,100
siftsmall,PiP,16,200,200,20,,95.0,5.0,0.905,2902.03,0.034459,100
siftsmall,PiP,16,200,50,10,,95.0,10.0,0.985,2711.0,0.036887,100
siftsmall,PiP,16,200,100,10,,95.0,10.0,0.985,2509.38,0.03985,100
siftsmall,PiP,16,200,200,10,,95.0,10.0,0.985,2542.45,0.039332,100
siftsmall,PiP,16,200,50,20,,95.0,10.0,0.955,2220.63,0.045032,100
siftsmall,PiP,16,200,100,20,,95.0,10.0,0.955,1642.5,0.060883,100
siftsmall,PiP,16,200,200,20,,95.0,10.0,0.955,2331.88,0.042884,100
siftsmall,PiP,16,200,50,10,,95.0,20.0,0.995,1775.09,0.056335,100
siftsmall,PiP,16,200,100,10,,95.0,20.0,0.995,2259.09,0.044266,100
siftsmall,PiP,16,200,200,10,,95.0,20.0,0.995,1729.0,0.057837,100
siftsmall,PiP,16,200,50,20,,95.0,20.0,0.9825,1686.0,0.059312,100
siftsmall,PiP,16,200,100,20,,95.0,20.0,0.9825,1557.91,0.064189,100
siftsmall,PiP,16,200,200,20,,95.0,20.0,0.9825,824.0,0.121359,100
siftsmall,PiP,16,200,50,10,,99.0,5.0,0.951,4528.26,0.022084,100
siftsmall,PiP,16,200,100,10,,99.0,5.0,0.951,5002.04,0.019992,100
siftsmall,PiP,16,200,200,10,,99.0,5.0,0.951,4366.4,0.022902,100
siftsmall,PiP,16,200,50,20,,99.0,5.0,0.9585,2831.43,0.035318,100
siftsmall,PiP,16,200,100,20,,99.0,5.0,0.9585,2882.6,0.034691,100
siftsmall,PiP,16,200,200,20,,99.0,5.0,0.9585,2660.85,0.037582,100
siftsmall,PiP,16,200,50,10,,99.0,10.0,0.985,2491.21,0.040141,100
siftsmall,PiP,16,200,100,10,,99.0,10.0,0.985,2486.5,0.040217,100
siftsmall,PiP,16,200,200,10,,99.0,10.0,0.985,3134.33,0.031905,100
siftsmall,PiP,16,200,50,20,,99.0,10.0,0.9775,1550.34,0.064502,100
siftsmall,PiP,16,200,100,20,,99.0,10.0,0.9775,1645.06,0.060788,100
siftsmall,PiP,16,200,200,20,,99.0,10.0,0.9775,1322.01,0.075642,100
siftsmall,PiP,16,200,50,10,,99.0,20.0,0.995,2001.92,0.049952,100
siftsmall,PiP,16,200,100,10,,99.0,20.0,0.995,2431.95,0.041119,100
siftsmall,PiP,16,200,200,10,,99.0,20.0,0.995,2341.54,0.042707,100
siftsmall,PiP,16,200,50,20,,99.0,20.0,0.9945,1825.66,0.054775,100
siftsmall,PiP,16,200,100,20,,99.0,20.0,0.9945,1051.89,0.095067,100
siftsmall,PiP,16,200,200,20,,99.0,20.0,0.9945,1268.79,0.078815,100
siftsmall,Ada-ef,16,200,0,10,0.8,,,1.0,495.97,0.201624,100
siftsmall,Ada-ef,16,200,0,10,0.85,,,1.0,401.68,0.248957,100
siftsmall,Ada-ef,16,200,0,10,0.9,,,0.998,1129.4,0.088543,100
siftsmall,Ada-ef,16,200,0,10,0.95,,,1.0,510.72,0.195801,100
siftsmall,Ada-ef,16,200,0,20,0.8,,,1.0,294.9,0.339101,100
siftsmall,Ada-ef,16,200,0,20,0.85,,,1.0,440.08,0.227231,100
siftsmall,Ada-ef,16,200,0,20,0.9,,,0.9975,1699.95,0.058825,100
siftsmall,Ada-ef,16,200,0,20,0.95,,,1.0,394.09,0.25375,100
