Method,k,QPS,Avg Latency (ms),Total Time (s),Recall@10,efSearch,M,efConstruction,target_recall
HNSW-fixed,10,492.8831906164939,2.0288782799616456,0.20288782799616456,0.997,50.0,16,100,
HNSW-fixed,10,2830.131035492254,0.3533405299822334,0.03533405299822334,0.998,100.0,16,100,
HNSW-fixed,10,1611.7775552360372,0.6204330099717481,0.06204330099717481,1.0,150.0,16,100,
HNSW-fixed,10,802.7499516389117,1.2457179199554957,0.12457179199554957,1.0,200.0,16,100,
HNSW-fixed,10,549.9964027304208,1.8181937100598589,0.18181937100598589,1.0,300.0,16,100,
HNSW-fixed,10,867.8127186605648,1.1523223599942867,0.11523223599942867,1.0,500.0,16,100,
Ada-ef,10,39.44683316131965,25.350577469944255,2.5350577469944255,0.99,,16,100,0.9
Ada-ef,10,37.71735164191232,26.512996179953916,2.6512996179953916,0.99,,16,100,0.95
Ada-ef,10,41.60548077981191,24.035294900022564,2.4035294900022564,0.99,,16,100,0.99
