query_id,method,recall,latency_ms,true_neighbors_found,terminated_early,actual_ef_used,max_ef_allowed,num_iterations,num_distance_computations,num_nodes_visited,distance_to_best,distance_to_worst_in_topk,distance_ratio,method_specific,query_d1nn_distance,query_dknn_distance,query_local_density,failure_type,recall_gap_from_oracle,d1nn,dknn,d_ratio,local_density,isolation_score,intrinsic_dim,difficulty,difficulty_score
21,hnsw_ef20,1.0,2.682,10,False,20,20,0,0,0,6536.0,51865.0,1.0,{},0.0,0.0,0.0,none,0.0,80.84553527832031,227.7388916015625,2.8169631237834527,2,0.15057064030107584,15.71898386419396,very_hard,0.75
22,hnsw_ef20,1.0,1.3940000000000001,10,False,20,20,0,0,0,29947.0,43724.0,1.0,{},0.0,0.0,0.0,none,0.0,173.05201721191406,209.10284423828125,1.2083236451512753,1089,0.32230045787052963,0.9078726109363272,easy,0.0
23,hnsw_ef20,1.0,1.421,10,False,20,20,0,0,0,64486.0,69874.0,1.0,{},0.0,0.0,0.0,none,0.0,253.94093322753906,264.3369140625,1.0409385785222969,4052,0.47295189255771736,0.05492695941498519,easy,0.0
24,hnsw_ef20,1.0,1.768,10,False,20,20,0,0,0,23786.0,63044.0,1.0,{},0.0,0.0,0.0,none,0.0,154.22711181640625,251.0856475830078,1.6280253492777788,250,0.2872400423602512,5.887644600341549,medium,0.30000000000000004
25,hnsw_ef20,0.8,1.761,8,False,20,20,0,0,0,73772.0,96308.0,1.0,{},0.0,0.0,0.0,none,0.0,271.6100158691406,308.5076904296875,1.1358479894140718,4650,0.5058596477939178,0.40714175440115696,easy,0.0
26,hnsw_ef20,1.0,1.925,10,False,20,20,0,0,0,33651.0,59115.0,1.0,{},0.0,0.0,0.0,none,0.0,183.4420928955078,243.13575744628906,1.3254087631064257,1715,0.3416514380213763,1.2787239089182243,easy,0.1
27,hnsw_ef20,1.0,1.825,10,False,20,20,0,0,0,30806.0,60091.0,1.0,{},0.0,0.0,0.0,none,0.0,175.51638793945312,245.13465881347656,1.3966482656767027,851,0.32689022126448036,1.9401626839365669,easy,0.1
28,hnsw_ef20,1.0,2.205,10,False,20,20,0,0,0,50562.0,61579.0,1.0,{},0.0,0.0,0.0,none,0.0,224.85995483398438,248.1511688232422,1.1035809777977315,3716,0.4187900699879868,0.27159888885885686,easy,0.0
29,hnsw_ef20,1.0,0.953,10,False,20,20,0,0,0,15720.0,37712.0,1.0,{},0.0,0.0,0.0,none,0.0,125.37942504882812,194.19577026367188,1.5488647374802023,59,0.2335127134131955,2.0495585023739693,medium,0.30000000000000004
30,hnsw_ef20,1.0,1.769,10,False,20,20,0,0,0,70425.0,77526.0,1.0,{},0.0,0.0,0.0,none,0.0,265.3770751953125,278.4349060058594,1.0492048184679725,4841,0.49425111721785037,0.07010792431520209,easy,0.0
31,hnsw_ef20,1.0,1.767,10,False,20,20,0,0,0,11923.0,95245.0,1.0,{},0.0,0.0,0.0,none,0.0,109.19248962402344,308.6178894042969,2.826365535458932,3,0.20336538093485398,21.147576485084006,very_hard,0.75
32,hnsw_ef20,1.0,1.646,10,False,20,20,0,0,0,35180.0,67794.0,1.0,{},0.0,0.0,0.0,none,0.0,187.56332397460938,260.372802734375,1.388186118783126,744,0.34932701837683744,1.778037134838982,easy,0.1
33,hnsw_ef20,0.9,1.368,9,False,20,20,0,0,0,107767.0,136172.0,1.0,{},0.0,0.0,0.0,none,0.0,328.2788391113281,365.6842956542969,1.1139441599227893,9288,0.6114024087059455,0.35650307685168386,easy,0.0
34,hnsw_ef20,1.0,1.944,10,False,20,20,0,0,0,61779.0,77653.0,1.0,{},0.0,0.0,0.0,none,0.0,248.55381774902344,278.6628723144531,1.121136962763663,4466,0.4629186677892316,0.2918356971866641,easy,0.0
35,hnsw_ef20,1.0,1.77,10,False,20,20,0,0,0,14635.0,92609.0,1.0,{},0.0,0.0,0.0,none,0.0,120.97520446777344,304.3172607421875,2.5155341714942465,3,0.22531007970394212,19.316161826827525,very_hard,0.75
36,hnsw_ef20,1.0,1.73,10,False,20,20,0,0,0,12423.0,90796.0,1.0,{},0.0,0.0,0.0,none,0.0,111.45851135253906,301.3237609863281,2.703461201211027,3,0.20758572954686008,21.434152765124086,very_hard,0.75
37,hnsw_ef20,1.0,1.433,10,False,20,20,0,0,0,27841.0,102084.0,1.0,{},0.0,0.0,0.0,none,0.0,166.85623168945312,319.505859375,1.9148572165386841,19,0.3107611268478152,7.060958259265276,medium,0.30000000000000004
38,hnsw_ef20,1.0,1.717,10,False,20,20,0,0,0,24448.0,93294.0,1.0,{},0.0,0.0,0.0,none,0.0,156.3585662841797,305.440673828125,1.9534629990977948,13,0.29120976638867624,18.056860857863185,medium,0.30000000000000004
